,listing_id,id,review_date,reviewer_id,reviewer_name,comments,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,review_year,review_month,review_day
1026,26809,60024638,2016-01-18,37911239,Jeremy,"Appartement très propre, calme et bien situé du côté de la Lausanne.
Nous avons passé un bon et agréable  séjour.
Eric est un hôte très accueillant que nous recommandons sans hésitation.","Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2016,01,18
1035,26809,60359278,2016-01-22,45132344,Luigina,"I spent recently two days by Eric's home and it was definitely a great stay.
Eric is a very welcoming, kind, helpful and polite guy. 
He made me feel at home since the beginning and put special care in making my stay be a very comfortable one in all details.
He is an amicable guy, open to exchange and conversation.
He gave me also practical information about public transportation as well as a map of the town. 
Everything in the flat was very clean, tidy and cared of.
The flat and the buidling are of a high standard in a very nice and quiet location in Lausanne. 
I would no doubt recommend to stay by Eric's to anyone who wishes to have a great stay in Lausanne.
Luigina



","Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2016,01,22
1044,26809,60899288,2016-01-29,51714467,Pascale,"Éric est un hôte chaleureux et arrangeant.
L'accueil est parfait et son appartement est agréablement décoré et très bien équipé.
La vue sur le lac est vraiment superbe.","Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2016,01,29
1296,26809,128022235,2017-01-22,18549056,Manoug,Excellent comme les fois précédentes.,"Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2017,01,22
1614,233016,586681124,2020-01-02,307241152,Antonio,We enjoyed the place. Thank you!,Your little piece of Paradise!,1219574,Michael,Aigle,Ormont-Dessus,46.3496,7.16248,Entire home/apt,125,2020,01,02
1923,240886,228845556,2018-01-21,46347978,Anne,"This was the third time I stayed with Maria Luisa and it was excellent, just like the previous two times. The room with bathroom is clean and comfortable, the coffee and breakfast were first class, and Maria Luisa is a super friendly and considerate host. The location of the place is very convenient, walking distance to the railway station and to the center of Nyon. Highly recommended for anyone who needs a quiet, comfortable place to stay in Nyon.","CHARMING, LIGHT ROOM close to Geneva",1016038,Maria Luisa,Nyon,Nyon,46.37996647233928,6.231361814271324,Private room,82,2018,01,21
2345,245705,225319612,2018-01-06,6916660,Danièle,"Maison idéale, nous nous y sommes senties immédiatement bien..Isabelle est accueillante ,disponible et serviable. Je recommande ce gîte.","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2018,01,06
2355,245705,226377760,2018-01-10,46835101,Jean Marc,"Isabelle a été un hôte très sympathique même si je ne l ai pas rencontré.
Elle a su répondre à toutes mes demandes.
Endroit calme en pleine nature.
Cafe thé pain confiture... merci.
Très bonne adresse si vous cherchez le repos et le calme.... ce matin les chamois étaient devant la fenêtre.... super","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2018,01,10
2365,245705,229163321,2018-01-22,18164188,Tiago,"We had a very good time in Isabelle´s place. Isabelle was extremely helpful, facilitating everything we needed.
The house is a lovely location around 2 Km from Ste Croix. We could walk the distance through a pleasant country side route. From Ste Croix we could take the bus to Les Rasses for skiing.
The house itself was very comfortable and again Isabelle kindly made every effort to make our stay enjoyable.
Definitely recommended, even if you don´t have a car!","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2018,01,22
2565,245705,403996641,2019-01-22,233618248,Elīna,Really nice place to stay,"Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2019,01,22
2575,245705,405425923,2019-01-27,175263483,Christine,"Alles hat super geklappt. Die Wohnung ist sehr geschmackvoll  eingerichtet.
Es hat uns an nichts gefehlt.
Zum Schneeschuhwandern ist die Gegend ein Traum,wir werden sicher wieder kommen.
Herzlichen Dank Isabelle","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2019,01,27
3665,347194,368128064,2019-01-06,16821685,Marius Potgieter,"The description and photos are accurate. The location is truly brilliant - in the vines and overlooking the lake. The pretty chateau / main building is in front of you, so it’s a partial lake view but still great. There’s amazing hikes and cycling trails around. Anne is very easy to deal with and very responsive. The bathroom is new and very clean (but not big). Bedrooms work well and are big enough. The dining room is small and the only common area, which means there isn’t room to sit and relax on a couch. The CHF 50 extra charge for doing the dishes seems very harsh. We always do them anyway...Overall a lovely stay in a unique place.",Castle in the hill. Stunning view 1,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47443,6.80248,Hotel room,260,2019,01,06
4215,366458,124942782,2017-01-03,45470616,David,"Spyros was a fantastic host answering our queries very quickly.
His house has a very unique view you cannot get tired of enjoying, during day time or even night time. It is certainly one of the best views overlooking the vinyards and the lake. Highly recommended.
David","Luxury 4BD villa, 240m2, amazing  views",1850153,Spyros,Lavaux-Oron,Lutry,46.51247,6.70154,Entire home/apt,730,2017,01,03
4765,366458,586746213,2020-01-02,71820973,Daryn-Lee,We thoroughly enjoyed the beautiful setting of Spyros’s home. Steep driveway so be careful! I especially appreciated his quick responses and always being available to assist with any information even when it did not relate to the accommodation.,"Luxury 4BD villa, 240m2, amazing  views",1850153,Spyros,Lavaux-Oron,Lutry,46.51247,6.70154,Entire home/apt,730,2020,01,02
5015,436377,58178912,2016-01-01,7066369,Gretchen,"Aris' place was perfectly positioned, stylish, and very neat. It was a great location for our trip to Montreux. I would recommend it to friends!",Beautiful modern apart w/terrace,2167486,Henry,Riviera-Pays-d'Enhaut,Montreux,46.431038678523386,6.913378437041983,Entire home/apt,230,2016,01,01
5390,441365,59801041,2016-01-15,11302601,Eva,L'appartement était jolie et calme.,Centré 2 pieces superbe appartement,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,2016,01,15
5400,441365,60800628,2016-01-27,55428595,Etienne,"Merci à Ines et à son mari pour leur accueil très chaleureux.
Le logement au charme désuet, était confortable, très propre et bien chauffé. Les doubles fenêtres isolent très bien du bruit de la rue.
",Centré 2 pieces superbe appartement,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,2016,01,27
6790,465603,225317164,2018-01-06,93117636,Faress,"It is a very nice room 

Also , Elisabeth is very nice friendly host.",Spacious room - private bathroom,2312887,Elisabeth,Aigle,Rennaz,46.37578,6.917910000000001,Private room,39,2018,01,06
7262,484112,59313676,2016-01-09,47554350,Janeen,"We stay 4 days in here, perfect view, perfect kitchen, but the location is a little far form Flon, the advantage is quite at night. My mom like it very much. ",Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52513,6.615939999999999,Entire home/apt,88,2016,01,09
7280,484112,224087052,2018-01-02,110328289,Roman,"I can totally recommend this place. Good access by public transport, nice rooms, good wifi, well-equipped kitchen and a breath-taking view on the lake and the mountains. Moreover, I want to emphasize the very good and friendly communication with the host, who answered to all our questions within a very short period of time and provided very clear information.",Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52513,6.615939999999999,Entire home/apt,88,2018,01,02
7292,484112,367179815,2019-01-04,139222266,Herve,"Appartement d'un beau volume, extrêmement lumineux et une vue splendide sur le lac et la montagne....très calme et serein.",Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52513,6.615939999999999,Entire home/apt,88,2019,01,04
7656,563402,58862629,2016-01-05,49148424,David,"The house is in a unique position and has fabulous views. It is very quiet and peaceful. During our stay over Christmas and New Year we were blessed by largely sunny weather. The house itself has everything needed and the stove in the 'snug' saw frequent use. It is a good example of a 'rustic' Swiss chalet. The house is 100% wood and therefore warms up fast. The family was on hand to welcome us on arrival (many thanks for the wine, cheese and cake!) and after that gave us the privacy that we greatly valued. We would like to return in a future summer season!",Heidi Chalet Alps - Unique Experience,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.4671,7.069539999999999,Entire home/apt,210,2016,01,05
7666,563402,60905814,2016-01-29,17091359,Laure,"Magnifique séjour dans un chalet magique... L'accueil y a été parfait après le trajet, une belle surprise : feu de bois allumé, bouteille de vin, tomme vaudoise et chocolat pour les enfants. Tout était prêt pour passer notre première soirée dans ce havre de charme. Toutes les petites attentions, la vue à couper le souffle ainsi que la gentillesse de nos hôtes nous ont fait tellement plaisir, que nous y retournerons avec joie ! ",Heidi Chalet Alps - Unique Experience,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.4671,7.069539999999999,Entire home/apt,210,2016,01,29
8126,563402,225397258,2018-01-06,3054906,Gabriela,alles super!,Heidi Chalet Alps - Unique Experience,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.4671,7.069539999999999,Entire home/apt,210,2018,01,06
8136,563402,230465934,2018-01-28,132925602,Seraina,"Das Heidi Chalet verfügt über einen besonderen Charme. Mit Kaminfeuer wird die Stimmung abends besonders gemütlich. 

Kommunikation mit Gastgeber funktioniert ausgezeichnet! ",Heidi Chalet Alps - Unique Experience,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.4671,7.069539999999999,Entire home/apt,210,2018,01,28
8586,563402,594827950,2020-01-19,6865586,Benjamin,Tolles Haus in gemütlicher Atmosphäre.,Heidi Chalet Alps - Unique Experience,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.4671,7.069539999999999,Entire home/apt,210,2020,01,19
8596,563402,597697516,2020-01-26,326230417,Fabio,Endroit sublime et chalet à la hauteur de nos attentes. Parfait pour passer quelques jours tranquille .,Heidi Chalet Alps - Unique Experience,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.4671,7.069539999999999,Entire home/apt,210,2020,01,26
8866,580402,125484554,2017-01-06,45223133,Christophe,"L'hôte a répondu très rapidement à ma demande, et m'a expliqué clairement le trajet depuis la gare jusqu'à chez elle. Chambre petite mais très bien aménagé, lumineuse et agréable (et bien chauffée!). Cuisine et salle de bain très bien également. Accueil très chaleureux et sympathique d'Inès, je reviendrai avec plaisir !","A4C3Coeur de ville, chambre privée ",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,45,2017,01,06
10738,630291,60501737,2016-01-24,14608409,Mélanie,Lieu magnifique et tout ce qu'il faut pour dormir comme une marmotte. Hôte au petit soin! ,White Double room in Cully Village,2998131,Claire,Lavaux-Oron,Bourg-en-Lavaux,46.48823,6.7305399999999995,Private room,80,2016,01,24
11408,630291,366129829,2019-01-02,28511462,Laura,"We had a lovely time at Claire's place. The rooms were charming, very clean and comfortable. We would recommend staying here to anyone!",White Double room in Cully Village,2998131,Claire,Lavaux-Oron,Bourg-en-Lavaux,46.48823,6.7305399999999995,Private room,80,2019,01,02
14548,932282,59858648,2016-01-16,5374868,Joel,"Inès est une hôte très gentil, le chambre est propre et central. et le lit est vraiment très comfortable!","A3/C2 Coeur de Ville, Magnifique chambre",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,45,2016,01,16
14597,932282,595982108,2020-01-21,103074352,Nicolas,Trés bien,"A3/C2 Coeur de Ville, Magnifique chambre",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,45,2020,01,21
14604,932282,597292355,2020-01-25,151396111,Luke,Great,"A3/C2 Coeur de Ville, Magnifique chambre",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,45,2020,01,25
14611,932282,598860113,2020-01-28,219321213,Jordan,Bon rapport-qualité prix . Merci,"A3/C2 Coeur de Ville, Magnifique chambre",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,45,2020,01,28
14618,932282,599216635,2020-01-29,6610481,Dietmar & Manuela,"La chambre (située dans un appartement annexe) était propre et bien chauffée (je suis venue en janvier), bonne communication, accueil sympathique, tout ce dont on a besoin est à disposition et le rapport qualité-prix est tout à fait correct. Merci à Ines et à son mari!","A3/C2 Coeur de Ville, Magnifique chambre",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,45,2020,01,29
15073,966106,596611292,2020-01-23,24429742,Jean,"Un cour séjour à Saint Cergue chez Jillian & David. Rien à dire. Très accueillant et aidant.
L’ appartement  a tout le comfort nécessaire pour que vous vous sentiez chez vous après une journée en pleine nature. Pour toute personne qui aiment le contacte proche avec la nature c’est l’endroit idéal. Pour les autres aussi d’ailleurs. Car non loin de Genève avec toutes ces commodités. 
Chez Jillian et David vous pouvez y aller les yeux fermés, ça serait comme même dommage pour les beaux paysages.
Marc",Modern apartment in the mountains!,5269002,Jillian And David,Nyon,Saint-Cergue,46.45302,6.1611,Entire home/apt,110,2020,01,23
15558,1040903,231218945,2018-01-31,143884030,Christopher,"Odile und Finn sind sehr freundliche und zuvorkommende Gastgeber. Man kann mit ihnen auch ohne Probleme englisch sprechen, wenn man noch nicht so bewandert in französisch ist. Ich habe hier mein Auslandssemester (EPFL) verbracht und die Lage ist sehr entspannt und ist optimal, wenn man gerne Zeit an der frischen Luft verbringen will. Gleichzeitig kommt man auch sehr schnell mit den öffentlichen Verkehrsmitteln in die Innenstadt von Lausanne und auch an den Universitäts Campus. Es ist wirklich eine sehr gute Lage, für jemanden, der entweder nur eine kurze Zeit oder längere Zeit dorten verbringen will.",Face to the lake and the Alps!,5730954,Odile Et Finn,Morges,Morges,46.51988,6.49386,Private room,45,2018,01,31
15628,1040903,401617828,2019-01-15,226004955,Julien,"Odile et Finn m’ont très bien accueilli et étaient disponible pour répondre à mes questions.
La chambre était propre et spacieuse.
L’emplacement de leur maison était idéale pour moi : a 15min à pied du centre de Morges, possibilité de garer sa voiture gratuitement à côté de la maison et quartier très calme.",Face to the lake and the Alps!,5730954,Odile Et Finn,Morges,Morges,46.51988,6.49386,Private room,45,2019,01,15
15848,1127066,225396579,2018-01-06,33726580,Colette,Magnifique Chalet historique très confortable et rénové avec beaucoup de goût. Séjour relaxant pour les amoureux de calme et nature.,Historical Chalet Gryon-Les Plans ,6183257,Olivier Nicolas,Aigle,Bex,46.25456,7.09709,Entire home/apt,139,2018,01,06
15858,1127066,227597975,2018-01-15,14969482,Von Arx,The host canceled this reservation 346 days before arrival. This is an automated posting.,Historical Chalet Gryon-Les Plans ,6183257,Olivier Nicolas,Aigle,Bex,46.25456,7.09709,Entire home/apt,139,2018,01,15
16098,1127066,594714272,2020-01-19,59717567,Coralie,"Magnifique chalet historique! De superbes chambres avec chacun une petite touche personelle, un salon avec une magnifique cheminée idéal pour les apéro, un cuisine super bien équipé! Rien a redire tant à la qualité du logement! Je le recommande vivement. 
Cependant, pour information, le papa y habite aussi bien entendu tout est séparé.",Historical Chalet Gryon-Les Plans ,6183257,Olivier Nicolas,Aigle,Bex,46.25456,7.09709,Entire home/apt,139,2020,01,19
16108,1127066,599226670,2020-01-29,12493750,Marc,Excellent séjour dans ce chalet très authentique.,Historical Chalet Gryon-Les Plans ,6183257,Olivier Nicolas,Aigle,Bex,46.25456,7.09709,Entire home/apt,139,2020,01,29
16202,1134905,60946673,2016-01-30,31744540,Martin,"Nous avons passé 1 mois dans ce très agréable loft rural. Avons BEAUCOUP aimé le style contemporain et l’ambiance rustique de l’endroit. D’immenses fenêtres inondent l’appartement de lumière. La cuisine et la salle de bain sont modernes et bien équipées. Il y a aussi un foyer. En rentrant en fin de journée, nous avions l’impression d’être à la maison ! Nous avons été accueillis TRÈS chaleureusement par les hôtes, le chien Lola et les chevaux! Nous recommandons fortement. En pleine nature, mais à quelques minutes de Lausanne, c’est un endroit idéal.",Loft en milieu rural à Eclagnens,6225721,Jean-Daniel,Gros-de-Vaud,Oulens-sous-Echallens,46.65164,6.5855,Entire home/apt,110,2016,01,30
16610,1209679,58258947,2016-01-02,31931315,Michele,"Nous avons passé une semaine en Décembre dans ce charmant chalet avec trois enfants. Ben a porté un attention toute particulière aux communications et aux informations lors de la préparation de notre voyage. Ce chalet est extrêmement bien situé, à deux pas des remontées mécaniques, des loueurs de matériel de ski et des commerces. Avec sa terrasse sur la vallée, sa déco très soignée et son coin cheminée, il présente un cachet très appréciable, et une ambiance chaleureuse. La propreté, le confort, et l'équipement sont irréprochables et nous avons eu la chance de profiter de la nouvelle salle de bain tout à fait moderne : un vrai plus pour 7 personnes au retour des pistes. Aussi nous remercions très sincèrement Ben pour cette offre à Leysin, un excellent chalet Suisse dans une ville particulièrement bien équipée, tranquille et offrant toutes les activités pour les vacances et un restaurant et musée spécialité de fromages très appréciable. ",Ski in/out Retro modern chalet w/ stunning views,6438801,Ben,Aigle,Leysin,46.34661,7.01404,Entire home/apt,125,2016,01,02
16790,1209679,587544341,2020-01-03,47651920,Annick,"Excellente situation géographique du chalet, tout proche du télécabine et du village tout en étant très calme. Vue magique à couper le souffle!! Chalet propre et bien achalandé. On recommande sans hésitation!",Ski in/out Retro modern chalet w/ stunning views,6438801,Ben,Aigle,Leysin,46.34661,7.01404,Entire home/apt,125,2020,01,03
16800,1209679,596566323,2020-01-23,14465836,Anne,"Ideal location near ski lifts and shops, fantastic views of the mountains. Cute retro decoration, comfortable and well equipped.",Ski in/out Retro modern chalet w/ stunning views,6438801,Ben,Aigle,Leysin,46.34661,7.01404,Entire home/apt,125,2020,01,23
16952,1247756,585927505,2020-01-01,188672081,Guillaume,Merci à Anton pour son accueil des plus chaleureux ! Pleins de petites intentions nous étaient destinées dans la maison. Un hôte plein de gentillesse que je conseille vivement.,Two level Villa - Swimming pool- 8 min to MONTREUX,4760994,Anton,Aigle,Villeneuve (Vaud),46.40716656181913,6.932228769401688,Entire home/apt,300,2020,01,01
17401,1255594,405520791,2019-01-27,37494639,Michal,"Great place! Located remotely yet within only short walk from La Tine station. You have a feeling like being in the middle of nowhere which I loved.  The communication, attention to detail, kindness and help during the whole stay - first class. And freshly prepared delicious breakfast. Overall fantastic experience, thanks a lot Caroline and Cecile! Keep doing the great job to delight the guests.",Chalet in Pays d'Enhaut  - A,6839422,Caroline Et Cécile,Riviera-Pays-d'Enhaut,Rossinière,46.46482,7.051760000000001,Private room,49,2019,01,27
17801,1262248,125698189,2017-01-07,108885162,Laurent,"Michel est très gentil, et prend bien soin de ses hôtes. je recommande.",single bedroom in Morges - Minimum stay: 3 nights,6035240,Michel,Morges,Morges,46.51739,6.49642,Private room,40,2017,01,07
19360,1318979,58248966,2016-01-01,12526980,Marie,"Great little wooden house in the low mountains of Les Avants
super nice location . descrete nice and helpful host
 Its near  the train station where you can take golden pass to ride along the valley toward Zwissimen

Recommended 1000 % ",Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2016,01,01
19370,1318979,59602932,2016-01-12,9499134,Emmanuel,Nice and quiet little place in the heart of the prealps mountains but only 15 minutes from the shops and the lake,Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2016,01,12
19380,1318979,60179884,2016-01-19,12146839,Lionel,"Kristyna war genial, zuvorkommend und sehr hilfsbereit!

",Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2016,01,19
19390,1318979,60651828,2016-01-25,18416718,Auro,"We had a great experience at Kristyna's house. She is a great host!! It was winter time, snowy outsite but the place is cozy and very warm inside!! Beautiful landscape outside... Recommended!",Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2016,01,25
20170,1318979,223315114,2018-01-01,137774611,Serdar,It was a very nice experience to stay at Kristyna's place. It is super calm and very good if you need to get away from city life.,Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2018,01,01
20180,1318979,226008013,2018-01-08,145335764,Dominique,"L'appartement de Kristyna est simple, mais très chouette. Il est très bien placé (proche de la gare des Avants, mais attention ça monte!), avec une belle vue sur les montagnes, calme et lumineux. J'y ai passé 3 très bonnes nuits. C'est un bon endroit où rester si vous êtes friants de randonnées, mais aussi simplement pour déconnecter et se ressourcer!",Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2018,01,08
20190,1318979,227252333,2018-01-14,159195762,Sirène,"An amazing apartment with a breathtaking view! Very clean, neat, and cozy, we loved it. It is also great for star gazing! We loved it and we would definitely love to be there again.",Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2018,01,14
20200,1318979,230393150,2018-01-28,31374644,Alex,good,Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2018,01,28
21100,1318979,587514648,2020-01-03,153502280,Thomas,"Le voyage à été parfait. Le logement était parfaitement pa conforme, dans un cadre magnifique et très agréable/apaisant 
Kristyna a été une hôte très agréable, disponible et très serviable 
Nous reviendrons avec une grande joie pour d'autres vacances !",Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2020,01,03
21110,1318979,597893870,2020-01-26,330246269,Henning,"nice, calm place in the mountains. i would take it again.",Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.453829999999996,6.94451,Entire home/apt,50,2020,01,26
21342,1324568,228313313,2018-01-19,17858670,Gigi,Joanna’s place feels just like home. The 805 bus runs every 15 minutes during the day just down the road. We enjoyed our stay!,Great comfy Studio in Nyon / Geneva,1241308,Joanna,Nyon,Prangins,46.40099309785757,6.247600839687589,Entire home/apt,92,2018,01,19
21534,1371803,231269220,2018-01-31,15580723,Francesca,A really comfortable and nice flat in a quiet neighborhood very close to the lake and to the city center. Djamel is a very kind and thoughtful host. Highly recommended!,65sqm w/balcony in heart of town,3899631,Djamel,Lausanne,Lausanne,46.5154,6.62748,Entire home/apt,99,2018,01,31
21744,1371803,366111995,2019-01-02,52932667,Thomas,"Excellent apartment, identical to pictures and description. The location is great and offers excellent value for money. The apartment itself is stylish, though sparsely furnished. All amenities were as advertised. One issue, which unfortunately is beyond the control of the host, is that the walls are pretty thin and do not insulate properly against noise from neighbouring flats. It was a problem for us as the bedroom was located next to a very noisy neighbour’s living room (especially late at night). Djamel is an excellent and attentive host. Communication and checkin/checkout were seamless.",65sqm w/balcony in heart of town,3899631,Djamel,Lausanne,Lausanne,46.5154,6.62748,Entire home/apt,99,2019,01,02
21844,1371803,590997834,2020-01-10,311602798,Camille,Bonne adresse pour loger à Lausanne. Appartement très propre et hôte très réactif.,65sqm w/balcony in heart of town,3899631,Djamel,Lausanne,Lausanne,46.5154,6.62748,Entire home/apt,99,2020,01,10
21854,1371803,594279661,2020-01-18,45162900,Alexis,"Appartement moderne, bien décoré, bien équipé, literie agréable, très bien situé à proximité des transports en commun et de la gare centrale. Nous y avons passé un excellent séjour. Nous reviendrons avec plaisir.",65sqm w/balcony in heart of town,3899631,Djamel,Lausanne,Lausanne,46.5154,6.62748,Entire home/apt,99,2020,01,18
21864,1371803,596232684,2020-01-22,83189359,Joe,"very comfortable place, clean and warm, spacious with a bed room, a living room and kitchen, short 5 mts walk distance from Lausanne train station, also 5-10 mts walk to the lake side, super location, Host Djamel has been very responsive and we really enjoyed the stay and his hospitality!! Definitely recommend for couple or family stay...",65sqm w/balcony in heart of town,3899631,Djamel,Lausanne,Lausanne,46.5154,6.62748,Entire home/apt,99,2020,01,22
21874,1371803,597732468,2020-01-26,281088102,Andres & Shaylee,"Super spacious apartment with lots of windows (good natural lighting). Comfiest bed we’ve stayed in so far. 12 minute walk to the train station, 20 ish minutes to old town Lausanne & close to lake Geneva as well. There was a nice grocery store (coop) 5 minutes walk away that had a lot of good options!",65sqm w/balcony in heart of town,3899631,Djamel,Lausanne,Lausanne,46.5154,6.62748,Entire home/apt,99,2020,01,26
22020,1389416,124177696,2017-01-01,68025845,Miguel,The apartment is very cozy and with magnificent views to the town. Very recommendable for anyone seeking a real home-away-from-home experience. My family of four spent three unforgettable days in Lausanne. Perfect!,Grand appartement avec vue panoramique,7515036,Aurélie & Daniel,Lausanne,Lausanne,46.53273,6.611560000000001,Entire home/apt,149,2017,01,01
22060,1389416,224530586,2018-01-03,142192000,Sarah,"Tout s’est très bien passé, votre appartement est très chaleureux et ce séjour était fort agréable, nous avons aimé ce côté artistique et apaisant bravo pour la déco et l’ambiance. 
Nous reviendrons avec grand plaisir !

Merci  encore. 

Morgan et Sarah",Grand appartement avec vue panoramique,7515036,Aurélie & Daniel,Lausanne,Lausanne,46.53273,6.611560000000001,Entire home/apt,149,2018,01,03
22240,1392327,59912514,2016-01-17,42412130,Massimiliano,"Sono tornato per la terza volta da David, e mi trovo sempre bene. La casa è spaziosa e luminosa, e l'ospite sempre molto gentile.",2 rooms apartment in Lausanne,7526907,David,Lausanne,Lausanne,46.533745220091454,6.6488156519328685,Entire home/apt,65,2016,01,17
22759,1392650,226761043,2018-01-12,652679,Julien,"L'appartement de Grégoire est central, très agréable et joliement décoré. Gregoire est très sympa et communique clairement. Je vous recommande vivement cet hôte.",Cosy Bedroom in spacious flat,6388402,Grégoire,Lausanne,Lausanne,46.52159004800289,6.6219171254047895,Private room,72,2018,01,12
22879,1395852,59413397,2016-01-10,30288132,Gaia,"The flat is very nice,clean and comfortable, the position is perfect to go in the city center or at the university UNIL/EPFL and Nat is a great host, helpful and very friendly. My stay in nat's flat was pleasant, in case of need I will definitely come back in her apartment.",Room for rent in Lausanne center,1190071,Nat,Lausanne,Lausanne,46.523144578525326,6.609716872671008,Private room,63,2016,01,10
22882,1395852,60186764,2016-01-19,51643547,James,"Nat hosted us at the last minute and responded to messages quickly. She was very warm and welcoming. We were able to use the kitchen to cook meals and have breakfast. Supermarket across the road very handy. Walking distance to old town. Overall, an enjoyable stay.",Room for rent in Lausanne center,1190071,Nat,Lausanne,Lausanne,46.523144578525326,6.609716872671008,Private room,63,2016,01,19
22885,1395852,60274789,2016-01-21,44330042,Fanny,"Nat est une hôte formidable ! Elle nous a directement mises à l'aise et s'est montré tout à faire chaleureuse ! Nous recommandons cet endroit, très bien situé à proximité du bus, très propre et cosy ! ",Room for rent in Lausanne center,1190071,Nat,Lausanne,Lausanne,46.523144578525326,6.609716872671008,Private room,63,2016,01,21
22888,1395852,60424968,2016-01-23,54628997,Ulrike,"Nat ist eine sehr freundliche Gastgeberin und ermöglicht ein geschwindes und entspannendes sich Wohlfühlen in ihrer angenehmen, wohnlichen Unterkunft. Sehr empfehlenswert.",Room for rent in Lausanne center,1190071,Nat,Lausanne,Lausanne,46.523144578525326,6.609716872671008,Private room,63,2016,01,23
23404,1445721,61020661,2016-01-31,1033094,Sylvain,"Un très beau chalet, confortable et chaleureux. Idéalement situé dans une région magnifique. Je recommande fortement. ",Chalet en montagne près de Villars,2768654,Isabelle,Aigle,Gryon,46.28066722763761,7.084152949634366,Entire home/apt,150,2016,01,31
